nombre_oficial,url,calle,colonia,cp,alcaldia,telefonos,horarios,costos,resumen,fundacion,latitud,longitud
Museo de  Azcapotzalco,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=727,Hacienda del Rosario s/n,Prados del Rosario,2420,Azcapotzalco,55 5318 5334,Martes a domingo de 10 a 17 h,Entrada libre,El nuevo proyecto del Museo de Azcapotzalco es un espacio aledaño al Parque Tezozómoc que busca recrear la historia y darle vida a través del recorrido de más de 400 piezas.,30 de agosto de 2018,19.5018887,-99.2100992
Museo Tezozómoc,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1233,Av. Zempoaltecas s/n esq. Av. Manuel Salazar,Ex Hacienda El Rosario,2420,Azcapotzalco,"55 5729 6000 exts. 64801, 64817",Martes a viernes de 10 a 14 h. Sábado y domingo de 10 a 15:30 h.,"Entrada general $30, Estudiantes y maestros con credencial vigente, adultos mayores con credencial vigente, INAPAM, niños menores de 12 años y personas con discapacidad $20","El Museo Tezozómoc busca contribuir a la difusión de la ciencia, la tecnología y su aplicación a la vida en sociedad, con el fin de inducir el entusiasmo por los temas científicos y promover la comprensión de la fenomenología científica por el público en general.",9 de agosto de 1999,19.496815,-99.206712
Pabellón Nacional de la Biodiversidad. Museo interactivo y espacio de investigación,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2205,Circuito Centro Cultural Universitario,Ciudad Universitaria,4510,Coyoacán,55 56 22 63 88,Martes a domingo de 10:00 a 16:00 hrs.,Entrada gratuita,El Pabellón Nacional de la Biodiversidad es un museo interactivo y espacio de investigación de la UNAM que alberga colecciones nacionales de vertebrados y un archivo histórico sobre diversidad biológica.,5 de octubre de 2021,19.3113873,-99.18289
Universum Museo de las Ciencias,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=449,Circuito Cultural s/n,Cd. Universitaria,4510,Coyoacán,"55 5424 0694, 55 5622 7260","Miércoles a domingo, de 10:00 a 17:00 h","Entrada general: $90, Niños, estudiantes, maestros y trabajadores de la UNAM con credencial vigente, INAPAM: $80","Museo interactivo de divulgación de las ciencias -exactas, naturales, sociales- y el arte. Promueve una cultura científica en la sociedad, especialmente entre la población juvenil e infantil.",12 de diciembre de 1992,19.311112,-99.180403
"Museo Casa Kahlo, la Casa Roja",https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2541,Aguayo 54,Del Carmen,4300,Coyoacán,,Miércoles a lunes 9 a 19 h. Martes Cerrado. Recorridos guiados cada 10 minutos entre las 9 a 16:50 h. Recorridos libres de las 17 a las 18 h.,"Entrada general: $270; entrada para visitantes mexicanos $130; estudiantes, niños y adultos mayores $65.","El Museo Casa Kahlo, la Casa Roja, es la casa que en 1930 compró Guillermo Khalo, padre de la pintora Frida Kahlo, y en la que ella habitó con su familia. El museo exhibe muestras de los negativos de su padre, las pinturas que él realizó y regaló a Frida, así como la correspondencia entre las hermanas Kahlo.",,19.3522633,-99.1630777
Museo Anahuacalli,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=442,Col. San Pablo Tepetlapa,San Pablo Tepetlapa,4620,Coyoacán,"55 5617 4310, 55 5617 3797",Martes a domingo de 11 a 18 h.,"Admisión general: $100, Admisión nacional: $80, Estudiantes de primaria, secundaria, preparatoria, universidad y maestros: $35, Adultos mayores, niños de preescolar y escuelas primarias oficiales: $20, Entrada gratuita a menores de 6 años y personas con capacidades diferentes, Entrada gratuita a vecinos de las colonias San Pablo Tepetlapa, El Reloj, La Candelaria, Ruiz Cortines, Santa Úrsula, Díaz Ordaz y El Rosario al presentar credencial de elector, Entrada gratuita al presentar credencial ICOM",El Museo Diego Rivera Anahuacalli exhibe permanentemente piezas de arte prehispánico representativas de las diferentes culturas que florecieron en Mesoamérica y que Rivera coleccionó a lo largo de su vida.,,19.3225231,-99.1414643
Museo Nacional de la Acuarela Alfredo Guati Rojo,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=789,Salvador Novo 88,Barrio de Santa Catarina,4010,Coyoacán,"55 5554 8359, 55 8599 2861",Lunes a domingo de 10 a 18 h.,Entrada libre. La utilización de videocámara está sujeta al pago de derechos por la cantidad de: $50.,"El Museo Nacional de la Acuarela Alfredo Guati Rojo, A.C. ha sido el primero en el mundo dedicado específicamente a esta técnica. Ofrece un panorama histórico del desarrollo de la acuarela a través de sus salas permanentes y exposiciones temporales.",,19.3486254,-99.1770136
Museo Nacional de Culturas Populares,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=976,Av. Hidalgo 289,Del Carmen,4100,Coyoacán,"55 4155 0920 exts. 7900, 7901","Martes a jueves de 11 a 18 h., viernes a domingos de 11 a 19 h.","Entrada general $20.50, Maestros, estudiantes, niños menores de 13 años e INAPAM: entrada libre, Domingos entrada general: libre.","El Museo Nacional de Culturas Populares es un espacio donde se documentan, estudian, preservan, estimulan, difunden y promueven sistemáticamente las diversas manifestaciones de la cultura popular e indígena de México.",1983,19.3498858,-99.160789
Museo Universitario de Arte Contemporáneo (MUAC),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1224,"Av. Insurgentes Sur 3000, Centro Cultural Universitario",Cd. Universitaria,4510,Coyoacán,55 5622 6972,"Miércoles a Domingo 11:00 a 18:00 h, Lunes y Martes Permanece cerrado, Se permite el acceso 30 minutos antes del cierre","Costo de enterada: $40.00, 50% de descuento a comunidad UNAM, estudiantes y maestros con credencial vigente, Domingo 50% de descuento publico general, Menores de 12 años, INAPAM, personas con discapacidad y su acompañante. Entrada libre",El Museo Universitario de Arte Contemporáneo (MUAC) forma parte del Centro Cultural Universitario y exhibe obras representativas de las diferentes corrientes artísticas surgidas en México desde la segunda mitad del siglo XX.,,19.3151515,-99.1875385
Museo de Anatomopatología Veterinaria Manuel H. Sarvide,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=396,Av. Universidad 3000,Cd. Universitaria,4510,Coyoacán,"55 5622 5888 ext. 112, 5616 6795",Lunes a viernes de 9 a 17 h. En periodo vacacional no hay acceso al museo.,Entrada libre.,"Pequeño museo ubicado en la planta baja del edificio de posgrado que contiene esqueletos, órganos y cortes de diferentes animales estudiados en la facultad.",1 de enero de 1938,19.3321162,-99.1844758
Museo Frida Kahlo,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=287,Londres 247,Del Carmen,4100,Coyoacán,55 5554 5999,"Martes de 10 a 18 h, Miércoles de 11 a 18 h, Jueves a Domingo de 10 a 18 h","Menores de 6 años, entrada gratuita. Costos de entrada entre semana: $250 entrada general, $110 nacionales con identificación oficial, $50 estudiantes y profesores con credencial vigente, $25 estudiantes de nivel primaria y secundaria, $25 adultos mayores. En fin de semana: $270 entrada general, $130 nacionales con identificación oficial, $50 estudiantes y profesores con credencial vigente, $25 estudiantes de nivel primaria y secundaria, $25 adultos mayores.","Casa habitación en la que cada uno de sus espacios adoptó la forma de museo cuatro años después de la muerte de Frida Kahlo. Tanto Diego Rivera como Frida, con el devenir del tiempo, colmaron los rincones de la también conocida como Casa Azul con una gran cantidad de objetos producto de la cultura popular y otros de la autoría de diversos artistas.",,19.3551806,-99.1624636
Museo Universitario de Ciencias y Artes (MUCA),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=507,Circuito Interior Universitario s/n,Ciudad Universitaria,4510,Coyoacán,55 5622 0212,Martes a sábado de 10 a 18 h,Entrada libre,"El Museo Universitario de Ciencias y Artes (MUCA) promueve y difunde exposiciones multidisciplinarias que pueden incluir innovadores formatos como el video, la instalación, el performance y el arte digital.",1 de febrero de 1960,19.4152344,-99.0986739
Casa Fuerte del Indio Fernández,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2384,Ignacio Zaragoza 51,Santa Catarina,4010,Coyoacán,"WhatsApp +52 1 55 6475 2670, 55 1727 8318",Jueves a sábados de 11 a 18 h; domingos de 11 a 17 h,"Entrada general $200. Visitas guiadas, sábados y domingos de 12:30 a 16:00 h",La Casa Fuerte del Indio Fernández fue diseñada por el arquitecto Manuel Parra y sirvió como set de filmación y punto de reunión del gremio artístico. Exhibe una vasta colección de recuerdos cinematográficos del director Emilio Fernández.,1946-1986,19.4326077,-99.133208
Museo Nacional de las Intervenciones,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=978,General Anaya s/n esq. Calle 20 de Agosto s/n,San Diego Churubusco,4120,Coyoacán,"55 5604 0699, 55 4166 0780 ext. 413304",Martes a sábado de 10 h a 16 h,"Entrada general: $90, Entrada gratuita (aplica únicamente al presentar credencial oficial vigente): estudiantes, docentes y personas adultas mayores","El Museo Nacional de las Intervenciones se encuentra en el Exconvento de Churubusco, fundado en 1580. El museo aborda los procesos históricos y las intervenciones armadas en México durante los siglos XIX y XX, y cuenta con un importante acervo de arte sacro de los siglos XVII al XVIII.",1981,19.3531531,-99.14502399999999
Instituto del Derecho de Asilo Museo Casa de León Trotsky,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=966,Av. Río Churubusco 410,Del Carmen,4100,Coyoacán,"55 5658 8732, 55 5554 4083",Martes a domingo de 10 a 17 h,"Entrada general: $70, Descuento presentando credencial de: adulto mayor, profesor, estudiante","El Museo León Trotsky se fundó en 1990 en lo que fuera la casa donde vivió Lev Davidovich Bronstein, mejor conocido como León Trotsky, líder revolucionario ruso, quien al ser perseguido por José Stalin, tras la revolución bolchevique de octubre, obtuvo asilo político del gobierno cardenista y llegó a México en 1937.",1990,19.357617,-99.15936669999999
"Museo del Ejército y Fuerza Aérea  MUEFA, Cd. Mex.",https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1476,Calz. de Tlalpan 1838,Country Club,4220,Coyoacán,55 5336 5727,Martes a domingo de 10 a 17 h,Entrada libre,El Museo del Ejército y de la Fuerza Aérea (MUEFA) fue inaugurado en 2010 como parte de los festejos del Bicentenario de la Independencia de México y Centenario de la Revolución Mexicana. El museo invita a la reflexión sobre los momentos más significativos que han conformado la nación y en los que han tomado parte las Fuerzas Armadas.,13 de septiembre de 2010,19.3509877,-99.14529569999999
Museo Bicentenario del Ex Convento del Desierto de los Leones,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=906,Carr. México-Toluca s/n,La Venta,5020,Cuajimalpa de Morelos,55 5814 1172,Abierto al público de martes a domingo de 10 a 17 hrs.,Entrada general: $20,"El Museo Bicentenario del Ex Convento del Desierto de los Leones presenta exposiciones de pinturas, esculturas y fotografías, además de exhibir animales disecados y maquetas del parque.",1 de junio de 2004,19.3359012,-99.3120677
